week_start,platform,campaign_name,impressions,spend
2022-01-03,Facebook,CPG_PaidSocial_Q1_2022,520000,18500.00
2022-01-03,Instagram,CPG_PaidSocial_Q1_2022,310000,11200.00
2022-01-10,Facebook,CPG_PaidSocial_Q1_2022,534000,19100.00
2022-01-10,Instagram,CPG_PaidSocial_Q1_2022,298000,10800.00
2022-01-17,Facebook,CPG_PaidSocial_Q1_2022,510000,18200.00
2022-01-17,Instagram,CPG_PaidSocial_Q1_2022,305000,11000.00
2022-01-24,Facebook,CPG_PaidSocial_Q1_2022,498000,17800.00
2022-01-24,Instagram,CPG_PaidSocial_Q1_2022,289000,10400.00
2022-01-31,Facebook,CPG_PaidSocial_Q1_2022,515000,18400.00
2022-01-31,Instagram,CPG_PaidSocial_Q1_2022,301000,10900.00
2022-02-07,Facebook,CPG_PaidSocial_Q1_2022,480000,17100.00
2022-02-07,Instagram,CPG_PaidSocial_Q1_2022,275000,9900.00
2022-02-14,Facebook,CPG_PaidSocial_Q1_2022,560000,20000.00
2022-02-14,Instagram,CPG_PaidSocial_Q1_2022,340000,12200.00
2022-02-21,Facebook,CPG_PaidSocial_Q1_2022,490000,17500.00
2022-02-21,Instagram,CPG_PaidSocial_Q1_2022,280000,10100.00
2022-02-28,Facebook,CPG_PaidSocial_Q1_2022,475000,16900.00
2022-02-28,Instagram,CPG_PaidSocial_Q1_2022,270000,9700.00
2022-03-07,Facebook,CPG_PaidSocial_Q1_2022,500000,17900.00
2022-03-07,Instagram,CPG_PaidSocial_Q1_2022,290000,10500.00
2022-03-14,Facebook,CPG_PaidSocial_Q1_2022,512000,18300.00
2022-03-14,Instagram,CPG_PaidSocial_Q1_2022,295000,10700.00
2022-03-21,Facebook,CPG_PaidSocial_Q1_2022,488000,17400.00
2022-03-21,Instagram,CPG_PaidSocial_Q1_2022,278000,10000.00
2022-03-28,Facebook,CPG_PaidSocial_Q2_2022,495000,17700.00
2022-03-28,Instagram,CPG_PaidSocial_Q2_2022,285000,10300.00
2022-04-04,Facebook,CPG_PaidSocial_Q2_2022,505000,18000.00
2022-04-04,Instagram,CPG_PaidSocial_Q2_2022,292000,10600.00
2022-04-11,Facebook,CPG_PaidSocial_Q2_2022,478000,17000.00
2022-04-11,Instagram,CPG_PaidSocial_Q2_2022,268000,9600.00
2022-04-18,Facebook,CPG_PaidSocial_Q2_2022,492000,17600.00
2022-04-18,Instagram,CPG_PaidSocial_Q2_2022,282000,10200.00
2022-04-25,Facebook,CPG_PaidSocial_Q2_2022,508000,18100.00
2022-04-25,Instagram,CPG_PaidSocial_Q2_2022,294000,10650.00
2022-05-02,Facebook,CPG_PaidSocial_Q2_2022,470000,16800.00
2022-05-02,Instagram,CPG_PaidSocial_Q2_2022,265000,9500.00
2022-05-09,Facebook,CPG_PaidSocial_Q2_2022,485000,17300.00
2022-05-09,Instagram,CPG_PaidSocial_Q2_2022,276000,9950.00
2022-05-16,Facebook,CPG_PaidSocial_Q2_2022,502000,17950.00
2022-05-16,Instagram,CPG_PaidSocial_Q2_2022,288000,10400.00
2022-05-23,Facebook,CPG_PaidSocial_Q2_2022,518000,18500.00
2022-05-23,Instagram,CPG_PaidSocial_Q2_2022,302000,10900.00
2022-05-30,Facebook,CPG_PaidSocial_Q2_2022,495000,17700.00
2022-05-30,Instagram,CPG_PaidSocial_Q2_2022,284000,10250.00
2022-06-06,Facebook,CPG_PaidSocial_Q2_2022,472000,16850.00
2022-06-06,Instagram,CPG_PaidSocial_Q2_2022,267000,9620.00
2022-06-13,Facebook,CPG_PaidSocial_Q2_2022,488000,17450.00
2022-06-13,Instagram,CPG_PaidSocial_Q2_2022,279000,10050.00
2022-06-20,Facebook,CPG_PaidSocial_Q2_2022,496000,17720.00
2022-06-20,Instagram,CPG_PaidSocial_Q2_2022,286000,10320.00
2022-06-27,Facebook,CPG_PaidSocial_Q3_2022,474000,16900.00
2022-06-27,Instagram,CPG_PaidSocial_Q3_2022,269000,9680.00
2022-07-04,Facebook,CPG_PaidSocial_Q3_2022,460000,16400.00
2022-07-04,Instagram,CPG_PaidSocial_Q3_2022,255000,9200.00
2022-07-11,Facebook,CPG_PaidSocial_Q3_2022,468000,16700.00
2022-07-11,Instagram,CPG_PaidSocial_Q3_2022,260000,9380.00
2022-07-18,Facebook,CPG_PaidSocial_Q3_2022,476000,17000.00
2022-07-18,Instagram,CPG_PaidSocial_Q3_2022,270000,9720.00
2022-07-25,Facebook,CPG_PaidSocial_Q3_2022,482000,17200.00
2022-07-25,Instagram,CPG_PaidSocial_Q3_2022,274000,9880.00
2022-08-01,Facebook,CPG_PaidSocial_Q3_2022,490000,17500.00
2022-08-01,Instagram,CPG_PaidSocial_Q3_2022,280000,10100.00
2022-08-08,Facebook,CPG_PaidSocial_Q3_2022,497000,17750.00
2022-08-08,Instagram,CPG_PaidSocial_Q3_2022,286000,10300.00
2022-08-15,Facebook,CPG_PaidSocial_Q3_2022,504000,18000.00
2022-08-15,Instagram,CPG_PaidSocial_Q3_2022,291000,10500.00
