week_start,platform,campaign_name,clicks,spend
2022-01-03,Google Search,CPG_Search_Brand_Q1_2022,28400,9200.00
2022-01-10,Google Search,CPG_Search_Brand_Q1_2022,29100,9430.00
2022-01-17,Google Search,CPG_Search_Brand_Q1_2022,27800,9000.00
2022-01-24,Google Search,CPG_Search_Brand_Q1_2022,27200,8800.00
2022-01-31,Google Search,CPG_Search_Brand_Q1_2022,28000,9070.00
2022-02-07,Google Search,CPG_Search_Brand_Q1_2022,26500,8580.00
2022-02-14,Google Search,CPG_Search_Brand_Q1_2022,31200,10100.00
2022-02-21,Google Search,CPG_Search_Brand_Q1_2022,27400,8870.00
2022-02-28,Google Search,CPG_Search_Brand_Q1_2022,26800,8680.00
2022-03-07,Google Search,CPG_Search_Brand_Q1_2022,27900,9030.00
2022-03-14,Google Search,CPG_Search_Brand_Q1_2022,28500,9230.00
2022-03-21,Google Search,CPG_Search_Brand_Q1_2022,27100,8770.00
2022-03-28,Google Search,CPG_Search_Brand_Q2_2022,27500,8900.00
2022-04-04,Google Search,CPG_Search_Brand_Q2_2022,28200,9130.00
2022-04-11,Google Search,CPG_Search_Brand_Q2_2022,26900,8710.00
2022-04-18,Google Search,CPG_Search_Brand_Q2_2022,27600,8940.00
2022-04-25,Google Search,CPG_Search_Brand_Q2_2022,28300,9160.00
2022-05-02,Google Search,CPG_Search_Brand_Q2_2022,26200,8480.00
2022-05-09,Google Search,CPG_Search_Brand_Q2_2022,26800,8680.00
2022-05-16,Google Search,CPG_Search_Brand_Q2_2022,27700,8970.00
2022-05-23,Google Search,CPG_Search_Brand_Q2_2022,28600,9260.00
2022-05-30,Google Search,CPG_Search_Brand_Q2_2022,27400,8870.00
2022-06-06,Google Search,CPG_Search_Brand_Q2_2022,26400,8550.00
2022-06-13,Google Search,CPG_Search_Brand_Q2_2022,27100,8770.00
2022-06-20,Google Search,CPG_Search_Brand_Q2_2022,27800,9000.00
2022-06-27,Google Search,CPG_Search_Brand_Q3_2022,26600,8610.00
2022-07-04,Google Search,CPG_Search_Brand_Q3_2022,25800,8350.00
2022-07-11,Google Search,CPG_Search_Brand_Q3_2022,26300,8510.00
2022-07-18,Google Search,CPG_Search_Brand_Q3_2022,26800,8680.00
2022-07-25,Google Search,CPG_Search_Brand_Q3_2022,27200,8800.00
2022-08-01,Google Search,CPG_Search_Brand_Q3_2022,27600,8940.00
2022-08-08,Google Search,CPG_Search_Brand_Q3_2022,28000,9070.00
2022-08-15,Google Search,CPG_Search_Brand_Q3_2022,28500,9230.00
2022-08-22,Google Search,CPG_Search_Brand_Q3_2022,28900,9360.00
2022-08-29,Google Search,CPG_Search_Brand_Q3_2022,29300,9490.00
2022-09-05,Google Search,CPG_Search_Brand_Q3_2022,28700,9290.00
2022-09-12,Google Search,CPG_Search_Brand_Q3_2022,28100,9100.00
2022-09-19,Google Search,CPG_Search_Brand_Q3_2022,27700,8970.00
2022-09-26,Google Search,CPG_Search_Brand_Q4_2022,30200,9780.00
2022-10-03,Google Search,CPG_Search_Brand_Q4_2022,31000,10040.00
2022-10-10,Google Search,CPG_Search_Brand_Q4_2022,31700,10270.00
2022-10-17,Google Search,CPG_Search_Brand_Q4_2022,32500,10530.00
2022-10-24,Google Search,CPG_Search_Brand_Q4_2022,33400,10820.00
2022-10-31,Google Search,CPG_Search_Brand_Q4_2022,34200,11080.00
2022-11-07,Google Search,CPG_Search_Brand_Q4_2022,35100,11370.00
2022-11-14,Google Search,CPG_Search_Brand_Q4_2022,36000,11660.00
2022-11-21,Google Search,CPG_Search_Brand_Q4_2022,38500,12470.00
2022-11-28,Google Search,CPG_Search_Brand_Q4_2022,40200,13020.00
2022-12-05,Google Search,CPG_Search_Brand_Q4_2022,39400,12760.00
2022-12-12,Google Search,CPG_Search_Brand_Q4_2022,38500,12470.00
2022-12-19,Google Search,CPG_Search_Brand_Q4_2022,37200,12050.00
