week_start,platform,campaign_name,reach,frequency,spend
2022-01-03,YouTube,CPG_DigVideo_Q1_2022,980000,2.1,42000.00
2022-01-10,YouTube,CPG_DigVideo_Q1_2022,995000,2.2,42800.00
2022-01-17,YouTube,CPG_DigVideo_Q1_2022,970000,2.1,41700.00
2022-01-24,YouTube,CPG_DigVideo_Q1_2022,960000,2.0,41200.00
2022-01-31,YouTube,CPG_DigVideo_Q1_2022,975000,2.1,41900.00
2022-02-07,YouTube,CPG_DigVideo_Q1_2022,950000,2.0,40800.00
2022-02-14,YouTube,CPG_DigVideo_Q1_2022,1020000,2.3,43800.00
2022-02-21,YouTube,CPG_DigVideo_Q1_2022,958000,2.0,41100.00
2022-02-28,YouTube,CPG_DigVideo_Q1_2022,945000,2.0,40600.00
2022-03-07,YouTube,CPG_DigVideo_Q1_2022,968000,2.1,41600.00
2022-03-14,YouTube,CPG_DigVideo_Q1_2022,980000,2.1,42100.00
2022-03-21,YouTube,CPG_DigVideo_Q1_2022,955000,2.0,41000.00
2022-03-28,YouTube,CPG_DigVideo_Q2_2022,962000,2.0,41300.00
2022-04-04,YouTube,CPG_DigVideo_Q2_2022,972000,2.1,41700.00
2022-04-11,YouTube,CPG_DigVideo_Q2_2022,948000,2.0,40700.00
2022-04-18,YouTube,CPG_DigVideo_Q2_2022,965000,2.1,41400.00
2022-04-25,YouTube,CPG_DigVideo_Q2_2022,978000,2.1,42000.00
2022-05-02,YouTube,CPG_DigVideo_Q2_2022,940000,2.0,40400.00
2022-05-09,YouTube,CPG_DigVideo_Q2_2022,953000,2.0,40900.00
2022-05-16,YouTube,CPG_DigVideo_Q2_2022,970000,2.1,41700.00
2022-05-23,YouTube,CPG_DigVideo_Q2_2022,985000,2.1,42300.00
2022-05-30,YouTube,CPG_DigVideo_Q2_2022,963000,2.0,41300.00
2022-06-06,YouTube,CPG_DigVideo_Q2_2022,943000,2.0,40500.00
2022-06-13,YouTube,CPG_DigVideo_Q2_2022,958000,2.0,41100.00
2022-06-20,YouTube,CPG_DigVideo_Q2_2022,968000,2.1,41600.00
2022-06-27,YouTube,CPG_DigVideo_Q3_2022,946000,2.0,40600.00
2022-07-04,YouTube,CPG_DigVideo_Q3_2022,930000,1.9,39900.00
2022-07-11,YouTube,CPG_DigVideo_Q3_2022,938000,2.0,40300.00
2022-07-18,YouTube,CPG_DigVideo_Q3_2022,947000,2.0,40700.00
2022-07-25,YouTube,CPG_DigVideo_Q3_2022,955000,2.0,41000.00
2022-08-01,YouTube,CPG_DigVideo_Q3_2022,963000,2.0,41300.00
2022-08-08,YouTube,CPG_DigVideo_Q3_2022,971000,2.1,41700.00
2022-08-15,YouTube,CPG_DigVideo_Q3_2022,980000,2.1,42100.00
2022-08-22,YouTube,CPG_DigVideo_Q3_2022,988000,2.1,42400.00
2022-08-29,YouTube,CPG_DigVideo_Q3_2022,996000,2.2,42800.00
2022-09-05,YouTube,CPG_DigVideo_Q3_2022,984000,2.1,42200.00
2022-09-12,YouTube,CPG_DigVideo_Q3_2022,974000,2.1,41800.00
2022-09-19,YouTube,CPG_DigVideo_Q3_2022,965000,2.1,41400.00
2022-09-26,YouTube,CPG_DigVideo_Q4_2022,1010000,2.3,43400.00
2022-10-03,YouTube,CPG_DigVideo_Q4_2022,1030000,2.3,44300.00
2022-10-10,YouTube,CPG_DigVideo_Q4_2022,1048000,2.4,45100.00
2022-10-17,YouTube,CPG_DigVideo_Q4_2022,1065000,2.4,45800.00
2022-10-24,YouTube,CPG_DigVideo_Q4_2022,1082000,2.5,46500.00
2022-10-31,YouTube,CPG_DigVideo_Q4_2022,1100000,2.5,47300.00
2022-11-07,YouTube,CPG_DigVideo_Q4_2022,1118000,2.6,48100.00
2022-11-14,YouTube,CPG_DigVideo_Q4_2022,1136000,2.6,48900.00
2022-11-21,YouTube,CPG_DigVideo_Q4_2022,1175000,2.8,50600.00
2022-11-28,YouTube,CPG_DigVideo_Q4_2022,1210000,2.9,52100.00
2022-12-05,YouTube,CPG_DigVideo_Q4_2022,1195000,2.8,51400.00
2022-12-12,YouTube,CPG_DigVideo_Q4_2022,1178000,2.8,50700.00
2022-12-19,YouTube,CPG_DigVideo_Q4_2022,1155000,2.7,49700.00
2022-12-26,YouTube,CPG_DigVideo_Q4_2022,1050000,2.4,45200.00
2023-01-02,YouTube,CPG_DigVideo_Q1_2023,990000,2.2,42600.00
2023-01-09,YouTube,CPG_DigVideo_Q1_2023,1005000,2.2,43200.00
2023-01-16,YouTube,CPG_DigVideo_Q1_2023,980000,2.1,42100.00
2023-01-23,YouTube,CPG_DigVideo_Q1_2023,968000,2.1,41600.00
2023-01-30,YouTube,CPG_DigVideo_Q1_2023,984000,2.1,42300.00
2023-02-06,YouTube,CPG_DigVideo_Q1_2023,958000,2.0,41200.00
2023-02-13,YouTube,CPG_DigVideo_Q1_2023,1032000,2.3,44400.00
2023-02-20,YouTube,CPG_DigVideo_Q1_2023,968000,2.1,41600.00
2023-02-27,YouTube,CPG_DigVideo_Q1_2023,952000,2.0,40900.00
2023-03-06,YouTube,CPG_DigVideo_Q1_2023,975000,2.1,41900.00
2023-03-13,YouTube,CPG_DigVideo_Q1_2023,988000,2.1,42500.00
2023-03-20,YouTube,CPG_DigVideo_Q1_2023,964000,2.1,41400.00
2023-03-27,YouTube,CPG_DigVideo_Q2_2023,972000,2.1,41800.00
2023-04-03,YouTube,CPG_DigVideo_Q2_2023,983000,2.1,42200.00
2023-04-10,YouTube,CPG_DigVideo_Q2_2023,956000,2.0,41100.00
2023-04-17,YouTube,CPG_DigVideo_Q2_2023,970000,2.1,41700.00
2023-04-24,YouTube,CPG_DigVideo_Q2_2023,984000,2.1,42300.00
2023-05-01,YouTube,CPG_DigVideo_Q2_2023,946000,2.0,40600.00
2023-05-08,YouTube,CPG_DigVideo_Q2_2023,960000,2.0,41200.00
2023-05-15,YouTube,CPG_DigVideo_Q2_2023,977000,2.1,42000.00
2023-05-22,YouTube,CPG_DigVideo_Q2_2023,993000,2.2,42700.00
2023-05-29,YouTube,CPG_DigVideo_Q2_2023,971000,2.1,41700.00
2023-06-05,YouTube,CPG_DigVideo_Q2_2023,950000,2.0,40800.00
2023-06-12,YouTube,CPG_DigVideo_Q2_2023,966000,2.1,41500.00
2023-06-19,YouTube,CPG_DigVideo_Q2_2023,975000,2.1,41900.00
2023-06-26,YouTube,CPG_DigVideo_Q3_2023,954000,2.0,41000.00
2023-07-03,YouTube,CPG_DigVideo_Q3_2023,938000,2.0,40300.00
2023-07-10,YouTube,CPG_DigVideo_Q3_2023,946000,2.0,40600.00
2023-07-17,YouTube,CPG_DigVideo_Q3_2023,955000,2.0,41000.00
2023-07-24,YouTube,CPG_DigVideo_Q3_2023,963000,2.0,41300.00
2023-07-31,YouTube,CPG_DigVideo_Q3_2023,971000,2.1,41700.00
2023-08-07,YouTube,CPG_DigVideo_Q3_2023,980000,2.1,42100.00
2023-08-14,YouTube,CPG_DigVideo_Q3_2023,989000,2.1,42500.00
2023-08-21,YouTube,CPG_DigVideo_Q3_2023,997000,2.2,42900.00
2023-08-28,YouTube,CPG_DigVideo_Q3_2023,1006000,2.2,43300.00
2023-09-04,YouTube,CPG_DigVideo_Q3_2023,994000,2.2,42700.00
2023-09-11,YouTube,CPG_DigVideo_Q3_2023,983000,2.1,42200.00
2023-09-18,YouTube,CPG_DigVideo_Q3_2023,974000,2.1,41800.00
2023-09-25,YouTube,CPG_DigVideo_Q4_2023,1022000,2.3,44000.00
2023-10-02,YouTube,CPG_DigVideo_Q4_2023,1042000,2.3,44800.00
2023-10-09,YouTube,CPG_DigVideo_Q4_2023,1058000,2.4,45500.00
2023-10-16,YouTube,CPG_DigVideo_Q4_2023,1075000,2.4,46200.00
2023-10-23,YouTube,CPG_DigVideo_Q4_2023,1093000,2.5,47000.00
2023-10-30,YouTube,CPG_DigVideo_Q4_2023,1112000,2.5,47800.00
2023-11-06,YouTube,CPG_DigVideo_Q4_2023,1130000,2.6,48600.00
2023-11-13,YouTube,CPG_DigVideo_Q4_2023,1149000,2.6,49400.00
2023-11-20,YouTube,CPG_DigVideo_Q4_2023,1190000,2.8,51200.00
2023-11-27,YouTube,CPG_DigVideo_Q4_2023,1226000,2.9,52800.00
2023-12-04,YouTube,CPG_DigVideo_Q4_2023,1210000,2.8,52100.00
2023-12-11,YouTube,CPG_DigVideo_Q4_2023,1192000,2.8,51300.00
2023-12-18,YouTube,CPG_DigVideo_Q4_2023,1168000,2.7,50200.00
2023-12-25,YouTube,CPG_DigVideo_Q4_2023,1062000,2.4,45700.00
